location.place,location.region,location.country,location.lat,location.lon,current.last_updated_epoch,current.temp_c,current.is_day,current.wind_mph,current.wind_degree,current.pressure_mb,current.precip_mm,current.humidity,current.cloud,current.feelslike_c
Chennai,Tamil Nadu,India,13.08,80.28,1629910800,30,0,6.9,210,1006,0.8,79,25,35.1
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629910800,31.4,0,9.8,270,1006,0,48,88,33.3
Mumbai,Maharashtra,India,18.98,72.83,1629945900,27,1,4.3,130,1005,1.5,94,75,30.6
Chennai,Tamil Nadu,India,13.08,80.28,1629945900,29,1,4.3,250,1005,1.1,70,50,34.6
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629945900,25.7,1,11.2,259,1007,4.2,72,26,27.5
Mumbai,Maharashtra,India,18.98,72.83,1629946800,28,1,0,0,1006,0.4,89,75,32.8
Chennai,Tamil Nadu,India,13.08,80.28,1629946800,31,1,6.9,260,1005,0,66,50,40.1
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629946800,25.7,1,12.5,263,1007,0.1,72,26,27.5
Mumbai,Maharashtra,India,18.98,72.83,1629950400,29,1,11.9,260,1006,0.4,84,75,34.8
Chennai,Tamil Nadu,India,13.08,80.28,1629950400,33,1,6.9,290,1005,0,63,25,45.7
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629950400,26.2,1,13.4,267,1008,0,69,25,27.9
Mumbai,Maharashtra,India,18.98,72.83,1629954000,29,1,13.6,240,1006,1,84,75,34.3
Chennai,Tamil Nadu,India,13.08,80.28,1629954000,34,1,6.9,330,1005,0.4,60,50,47.3
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629954000,27.4,1,13.6,267,1008,0.1,62,24,29.1
Mumbai,Maharashtra,India,18.98,72.83,1629962100,30,1,12.5,250,1006,0.3,75,75,36.4
Chennai,Tamil Nadu,India,13.08,80.28,1629962100,35,1,5.6,320,1004,0.1,53,50,48.4
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629962100,28.5,1,14.3,271,1008,0,58,23,30.2
Mumbai,Maharashtra,India,18.98,72.83,1629961200,30,1,12.5,240,1005,0.2,75,75,36.1
Chennai,Tamil Nadu,India,13.08,80.28,1629961200,34,1,10.5,70,1003,0,63,75,41.3
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629961200,31,1,11.2,274,1007,0,50,14,33.1
Mumbai,Maharashtra,India,18.98,72.83,1629964800,27,1,10.5,270,1005,0.9,89,75,29.6
Chennai,Tamil Nadu,India,13.08,80.28,1629964800,34,1,11.9,110,1003,0,63,75,41
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629964800,35.1,1,10.7,275,1006,0,47,13,40.3
Mumbai,Maharashtra,India,18.98,72.83,1629971100,27,1,3.8,10,1005,0.1,89,75,29.5
Chennai,Tamil Nadu,India,13.08,80.28,1629971100,33,1,11.9,130,1002,0,63,50,38.7
